,context,question,source_sentence,res
0,"twilight princess received the awards for best artistic design , best original score , and best use of sound from ign for its gamecube version . both ign and nintendo power gave twilight princess the awards for best graphics and best story . twilight princess received game of the year awards from gametrailers , 1up . com , electronic gaming monthly , game informer , games radar , gamespy , spacey awards , x-play and nintendo power . it was also given awards for best adventure game from the game critics awards , x-play , ign , gametrailers , 1up . com , and nintendo power . the game was considered the best console game by the game critics awards and gamespy . the game placed 16th in official nintendo magazine 's list of the 100 greatest nintendo games of all time . ign ranked the game as the 4th-best wii game . nintendo power ranked the game as the third-best game to be released on a nintendo system in the 2000s decade .",what place did the game take in nintendo 's official list of 100 greatest nintendo games of all time ?,the game placed 16th in official nintendo magazine 's list of the 100 greatest nintendo games of all time . ," what was twilight princess 's ranking in official nintendo magazine 's list of the 100 greatest nintendo games of all time ?

"
1,"twilight princess received the awards for best artistic design , best original score , and best use of sound from ign for its gamecube version . both ign and nintendo power gave twilight princess the awards for best graphics and best story . twilight princess received game of the year awards from gametrailers , 1up . com , electronic gaming monthly , game informer , games radar , gamespy , spacey awards , x-play and nintendo power . it was also given awards for best adventure game from the game critics awards , x-play , ign , gametrailers , 1up . com , and nintendo power . the game was considered the best console game by the game critics awards and gamespy . the game placed 16th in official nintendo magazine 's list of the 100 greatest nintendo games of all time . ign ranked the game as the 4th-best wii game . nintendo power ranked the game as the third-best game to be released on a nintendo system in the 2000s decade .",what place did ign give the game on the wii console ?,ign ranked the game as the 4th-best wii game . ," what was the 4th best wii game according to ign ?

"
2,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . during its first week , the game was sold with three of every four wii purchases . the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- .","what is the name of the area which includes most countries not located in north , central or south america ?","in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . "," what region is twilight princess the best-selling entry in ?

"
3,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . during its first week , the game was sold with three of every four wii purchases . the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- .",how many units of the wii version of twilight princess had been purchased by the end of march 2011 ?,"the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- . "," how many copies of twilight princess were sold on the wii ?

"
4,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . during its first week , the game was sold with three of every four wii purchases . the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- .",how many units of the gamecube version of twilight princess had been purchased by the end of march 2007 ?,"the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- . "," how many copies of the legend of zelda : twilight princess were sold on the wii ?

"
5,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . during its first week , the game was sold with three of every four wii purchases . the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- .",what region is twilight princess the best - selling zelda entry ?,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . "," what region is twilight princess the best-selling entry in ?

"
6,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . during its first week , the game was sold with three of every four wii purchases . the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- .",how many copies of the game had been sold as of march 2011 ?,"the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- . "," how many copies of twilight princess were sold on the wii ?

"
7,"in the pal region , which covers most of africa , asia , europe , and oceania , twilight princess is the best-selling entry in the zelda series . during its first week , the game was sold with three of every four wii purchases . the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- .",how many copies of the game had been sold on gamecube as of march 2007 ?,"the game had sold 5.82 million copies on the wii as of march 31 , 2011 -lsb- update -rsb- , and 1.32 million on the gamecube as of march 31 , 2007 -lsb- update -rsb- . "," how many copies of twilight princess were sold on the wii ?

"
8,"a japan-exclusive manga series based on twilight princess , penned and illustrated by akira himekawa , was first released on february 8 , 2016 . the series is available solely via publisher shogakukan 's mangaone mobile application . while the manga adaptation began almost ten years after the initial release of the game on which it is based , it launched only a month before the release of the high-definition remake .",who wrote and provided art for a twilight princess comic book series ?,"a japan-exclusive manga series based on twilight princess , penned and illustrated by akira himekawa , was first released on february 8 , 2016 . "," when was the twilight princess manga released ?

"
9,"a japan-exclusive manga series based on twilight princess , penned and illustrated by akira himekawa , was first released on february 8 , 2016 . the series is available solely via publisher shogakukan 's mangaone mobile application . while the manga adaptation began almost ten years after the initial release of the game on which it is based , it launched only a month before the release of the high-definition remake .",the twilight princess manga was only available in what country ?,"a japan-exclusive manga series based on twilight princess , penned and illustrated by akira himekawa , was first released on february 8 , 2016 . "," when was the twilight princess manga released ?

"
