,generated question,gold question
0,"how is the state of Texas responding to the events in the days of 9-11, where American Airlines Flight 11 hijacked a Boeing 777 that was headed for Mexico City's airport. the first airport that will be named after that building is not yet in the state, however. the building itself is one of the most",on what date did the world trade center path begin operation ?
1,"how is the new world trade center supposed to look tomorrow? As a result of the current design changes and new technology, a new world trade center looks like a large-scale building built by a consortium, the United States Federal Government. 
According to the project planners, the building will cos",how tall is one world trade center in meters ?
2,"how is the state of Texas responding to the events in the days of 9-11, where American Airlines Flight 11 hijacked a Boeing 777 that was headed for Mexico City's airport. the first airport that will be named after that building is not yet in the state, however. the building itself is one of the most",the hudson terminal which was also demolished was build in what year ?
3,"how is the city and surrounding area affected? And,how does the 9-11 memorial and museum create new and exciting worlds in terms of architecture and art?
A final part, which will help you understand some of the related questions, is:
1. Do the 9/11 memorial and museums provide new and exciting place",how many leader terrorists of al quada were involved with the 9/11 attacks directly that day ?
4,"how is the city and surrounding area affected? And,how does the 9-11 memorial and museum create new and exciting worlds in terms of architecture and art?
A final part, which will help you understand some of the related questions, is:
1. Do the 9/11 memorial and museums provide new and exciting place",what was the plane named that crashed into the world trade center ?
5,"how is the demand for social equality for women to become the norm? And from which position will it lead? What are women's rights that women have to accept for equality for women, and are we to believe that social inequality of these women, in addition to the economic inequalities which they face, i",on what date did the occupy wall street protests commence ?
6,"how is the demand for social equality for women to become the norm? And from which position will it lead? What are women's rights that women have to accept for equality for women, and are we to believe that social inequality of these women, in addition to the economic inequalities which they face, i",in what park did the occupy wall street protests occur ?
7,"how is the demand for social equality for women to become the norm? And from which position will it lead? What are women's rights that women have to accept for equality for women, and are we to believe that social inequality of these women, in addition to the economic inequalities which they face, i",in what borough did the occupy wall street protests take place ?
8,"how is the demand for social equality for women to become the norm? And from which position will it lead? What are women's rights that women have to accept for equality for women, and are we to believe that social inequality of these women, in addition to the economic inequalities which they face, i",in what district of manhattan were the occupy wall street protests ?
9,"how is the demand for social equality for women to become the norm? And from which position will it lead? What are women's rights that women have to accept for equality for women, and are we to believe that social inequality of these women, in addition to the economic inequalities which they face, i",the occupy wall street protests that took place in zuccotti park was on which date ?
10,"how easily we forget, but for weeks after the terror attacks, New york became america. 
This question is not to be confused with the question `the current republican candidate defends New York, the present republican candidate defends New York, new york, is a progressive republic, so one has to assu",what individual established the national review ?
11,"how easily we forget, but for weeks after the terror attacks, New york became america. 
This question is not to be confused with the question `the current republican candidate defends New York, the present republican candidate defends New York, new york, is a progressive republic, so one has to assu",in what year was the national review founded ?
12,"how easily we forget, but for weeks after the terror attacks, New york became america. 
This question is not to be confused with the question `the current republican candidate defends New York, the present republican candidate defends New York, his opponent defends the New York, his candidate defend",what public figure defended new york in january 2016 ?
13,"how easily we forget, but for weeks after the terror attacks, New york became america. 
This question is not to be confused with the question `the current republican candidate defends New York, the present republican candidate defends New York, his opponent defends the New York, his candidate defend",a presidential candidate from what party derided the city for its liberalism ?
14,"how is york city positioned in the northeastern united states during its relatively short life? 
The answer from the sources below is:the question is:the answer from the sources below is: the answer from sources below is:the answer from sources below is:the answer fromSources below is:and here it be",in what geographical region of the united states is new york city located ?
15,"how is york city positioned in the northeastern united states during its relatively short life? 
The answer from the sources below is:the question is:the answer from the sources below is: the answer from sources below is:the answer from sources below is:the answer fromSources below is:and here it be",in what geographical region of new york state is new york city located ?
16,"how is york city positioned in the northeastern united states during its relatively short life? 
The answer from the sources below is:the question is:the answer from the sources below is: the answer from sources below is:the answer from sources below is:the answer fromSources below is:and here it be",new york city is about half the distance between washington dc and what city ?
17,"how is york city located in the northeastern united states, in southeastern new york state, approximately halfway between washington, d.c. and boston?
In our context.
The location of york city is located in the northwestern part of the United States, in the northwestern area of the United States and",new york city is adjacent to what ocean ?
18,"how is york city located in the northeastern united states, in southeastern new york state, approximately halfway between washington, d.c. and boston?
In our context.
The location of york city is located in the northwestern part of the United States, in the northwestern area of the United States and",what river is new york city located on ?
19,"how is york city located in the northeastern united states, in southeastern new york state, approximately halfway between washington, d.c. and boston?
In our context.
The location of york city is located in the northwestern part of the United States, in the northwestern area of the United States and",new york city is at the base of which american river ?
20,"how is york city located in the northeastern united states, in southeastern new york state, approximately halfway between washington, d.c. and boston?
In our context.
The location of york city is located in the northwestern part of the United States, in the northwestern area of the United States and",the hudson river flows into which body of water ?
21,"how is york city built?
york building with a population of 2 million 
new york city with a population of 2 million 
the population of york city is about 1.1 million in urban areas 
york city with the population is roughly 1.2 million in urban areas with the population being 4.4 million in a few citi",the three islands that make up new york city are named what ?
22,"how is the state of new jersey supposed to separate the city from the r. s. state of the new jersey?
The best that I have come up with thus far has not been a very good way to draw any conclusions from these arguments. It sounds too good to be true. And one could easily have come up with other good ",the hudson river serves as a dividing line between new york and what state ?
23,"how is the state of manhattan supposed to separate the city from the sea from the troy?  This question is posed to the question:which is the land for which the troy flows? The state of manhattan is not determined by the rivers, but is determined by the shoreline.  By establishing all three parameter",what river flows between the hudson and east rivers ?
24,"how is the broome at rhody to become the river of the city? 
The answer from the west river is: that is to say, the broome has not been reestablished, the manhattan has not been placed, etc..
This is one of the two problems that has occurred at rhody -- I have two brothers here who would not accept ",what is the city 's sole fresh water river ?
25,"how is the state of hudson river to become the river of the city of troy?  This question is posed to the question:which river flows from the red, gable, rickety-grille, and gable, rivers, from the east to the north, from hudson, troy...? The answer is a very simple one:there is a river... of hudson ",into what body of water does the hudson river terminate ?
26,"how is the state of septembery to become the river of septembery? If septembery is not to be called the river of sepsis, the first river that will become a river of sepsis is septembery, as is the east shore sea.  The river of septembery may be called a septembery river (hence its name of the river)",between new york city and what city is the hudson river an estuary ?
27,"how is the state of new jersey supposed to separate the city from the r. s. state of the new jersey?
The best that I have come up with thus far has not been a very good way to draw any conclusions from these arguments. It sounds too good to be true. And one could easily have come up with other good ",the hudson river separates nyc from which us state ?
28,"how is the broome at rhody to become the river of the city? 
The answer from the west river is: that is to say, the broome has not been reestablished, the manhattan has not been placed, etc..
This is one of the two problems that has occurred at rhody -- I have two brothers here who would not accept ",the single only freshwater river in nyc is what river ?
29,"how is the state of manhattan supposed to separate the city from the sea from the troy?  This question is posed to the question:which is the land for which the troy flows? The state of manhattan is not determined by the rivers, but is determined by the shoreline.  By establishing all three parameter",which river seperates the bronx from manhatten ?
30,"how is the city's land reclamation to be successful?
1.1. To construct and manage the reclamation zones (e.g. land for land for development, etc) on residential buildings that meet local building code requirements, a reclamation project must:
2. Develop one or more reclamation zones within the recla",what manhattan development is the product of land reclamation ?
31,"how is the city's total area so high?
According to the city's historical figure, from the early medieval period to the modern period there were 436,847 square miles, each of which was occupied by a local economy.
With the advent of socialization and development from the nineteenth century on, all ot",what is the total area of new york city in square miles ?
32,"how is the city built?:
It's probably due to being relatively large from the standpoint of land and space and to a large amount of water. If you look at the figure, you will see that the entire city is of a single, rectangular block. A tall fence, with two tall spikes connecting the upper right and ","in square miles , how much of the city 's total area is composed of water ?"
33,"how is the city built?:
It's probably due to being relatively large from the standpoint of land and space and to a large amount of water. If you look at the figure, you will see that the entire city is of a single, rectangular block. A tall fence, with two tall spikes connecting the upper right and ","in square miles , how much of the city 's total area is land ?"
34,"how is the city built? What is the purpose of the city? And from which sources will we learn from the sources.
I should like to mention that the land for building the city was not only the land of Denmark, but also of the United Kingdom, Ireland, France, Scotland, Italy and Scotland.
The land itself",what is the name of new york city 's highest point ?
35,"how is the city built? What is the purpose of the city? And from which sources will we learn from the sources.
I should like to mention that the land for building the city was not only the land of Denmark, but also of the United Kingdom, Ireland, France, Scotland, Italy and Scotland.
The land itself",on what island is new york city 's highest point located ?
36,"how is the city's total area so high?
According to the city's historical figure, from the early medieval period to the modern period there were 436,847 square miles, each of which was occupied by a local economy.
With the advent of socialization and development from the nineteenth century on, all ot",how many square miles in nyc ?
37,"how is the city built?:
It's probably due to being relatively large from the standpoint of land and space and to a large amount of water. If you look at the figure, you will see that the entire city is of a single, rectangular block. A tall fence, with two tall spikes connecting the upper right and ",how many square miles are water in nyc ?
38,"how is the city built?:
It's probably due to being relatively large from the standpoint of land and space and to a large amount of water. If you look at the figure, you will see that the entire city is of a single, rectangular block. A tall fence, with two tall spikes connecting the upper right and ",how many square miles are land in nyc ?
39,"how is the city built? What is the purpose of the city? And from which sources will we learn from the sources.
I should like to mention that the land for building the city was not only the land of Denmark, but also of the United Kingdom, Ireland, France, Scotland, Italy and Scotland.
The land itself",the highest peak in the city is what location ?
40,"how is the city built? What is the purpose of the city? And from which sources will we learn from the sources.
I should like to mention that the land for building the city was not only the land of Denmark, but also of the United Kingdom, Ireland, France, Scotland, Italy and Scotland.
The land itself",how many feet above sea level is todt hil ?
41,"how is york different?:
It's probably due to being relatively large from the middle of the 20th Century but it's also that xor yor zor for a small area. This isn't a problem if building is limited to a very small area, but if building is very large it could be a challenge for you to decide how long ",what structure is an example of saltbox architecture ?
42,"how is york different?:
It's probably due to being relatively large from the middle of the 20th Century but it's also that xor yor zor for a small area. This isn't a problem if building is limited to a very small area, but if building is very large it could be a challenge for you to decide how long ",in what borough is the pieter claesen wyckoff house located ?
43,"how is york different?:
It's probably due to being relatively large from the middle of the 20th Century but it's also that xor yor zor for a small area. This isn't a problem if building is limited to a very small area, but if building is very large it could be a challenge for you to decide how long ",what building is the priciest office tower in the world ?
44,"how is york different?:
It's probably due to being relatively large from the middle of the 20th Century but it's also that xor yor zor for a small area. This isn't a problem if building is limited to a very small area, but if building is very large it could be a challenge for you to decide how long ",in what borough is one world trade center located ?
45,"how is york different?:
It's probably due to being relatively large from the middle of the 20th Century but it's also that xor yor zor for a small area. This isn't a problem if building is limited to a very small area, but if building is very large it could be a challenge for you to decide how long ",in what year did construction on the oldest part of pieter claesen wyckoff house begin ?
46,"how is york different?:
It's probably due to being relatively large from the middle of the 20th Century but it's also that xor yor zor for a small area. This isn't a problem if building is limited to a very small area, but if building is very large it could be a challenge for you to decide how long ",the most expensive office tower built in the world today is what ?
47,"how tall should it be at 511,937 ft?
1. ""511"" = 521,749 (ehr. height)
2. ""521"" = 651,983 (ehr. height)
3. ""651"" = 733,739 (ehr. height)
4. ""727"" = 788,934 (ehr. height)
5. ""800"" = 924,073 (ehr. height)
6. ""930″ = 929,741 (ehr. height)
7. ""933″ = 1008,962 (ehr. height)
8. ""933″ = 1013,049 (ehr. heigh",how many high-rises were present in new york city in 2011 ?
48,"how tall should it be at 511,937 ft?
1. ""511"" = 521,749 (ehr. height)
2. ""521"" = 651,983 (ehr. height)
3. ""651"" = 733,739 (ehr. height)
4. ""727"" = 788,934 (ehr. height)
5. ""800"" = 924,073 (ehr. height)
6. ""930″ = 929,741 (ehr. height)
7. ""933″ = 1008,962 (ehr. height)
8. ""933″ = 1013,049 (ehr. heigh",what city has the most high-rise buildings in the world ?
49,"how tall should it be at 511,937 ft?
1. ""511"" = 521,749 (ehr. height)
2. ""521"" = 651,983 (ehr. height)
3. ""651"" = 733,739 (ehr. height)
4. ""727"" = 788,934 (ehr. height)
5. ""800"" = 924,073 (ehr. height)
6. ""930″ = 929,741 (ehr. height)
7. ""933″ = 1008,962 (ehr. height)
8. ""933″ = 1013,049 (ehr. heigh",how many structures in new york city are over 100m tall ?
50,"how tall should it be at 511,937 ft?
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91",in what year was the woolworth building completed ?
51,"how tall should it be at 511,937 ft?
1. ""511"" = 521,749 (ehr. height)
2. ""521"" = 651,983 (ehr. height)
3. ""651"" = 733,739 (ehr. height)
4. ""727"" = 788,934 (ehr. height)
5. ""800"" = 924,073 (ehr. height)
6. ""930″ = 929,741 (ehr. height)
7. ""933″ = 1008,962 (ehr. height)
8. ""933″ = 1013,049 (ehr. heigh",how many buildings in new york city are over 200m high ?
52,"how tall should it be at 511,937 ft?
1. ""511"" = 521,749 (ehr. height)
2. ""521"" = 651,983 (ehr. height)
3. ""651"" = 733,739 (ehr. height)
4. ""727"" = 788,934 (ehr. height)
5. ""800"" = 924,073 (ehr. height)
6. ""930″ = 929,741 (ehr. height)
7. ""933″ = 1008,962 (ehr. height)
8. ""933″ = 1013,049 (ehr. heigh",nyc has the highest quantity of skyscrapers after which other world city ?
53,"how tall should it be at 511,937 ft?
1. ""511"" = 521,749 (ehr. height)
2. ""521"" = 651,983 (ehr. height)
3. ""651"" = 733,739 (ehr. height)
4. ""727"" = 788,934 (ehr. height)
5. ""800"" = 924,073 (ehr. height)
6. ""930″ = 929,741 (ehr. height)
7. ""933″ = 1008,962 (ehr. height)
8. ""933″ = 1013,049 (ehr. heigh",how many buildings located in nyc are at least 330 feet in height ?
