,generated question,gold question
0,"how is a greenhouse produced locally? 
Based on knowledge of the process of converting visible energy into heat, how can a greenhouse be produced locally? 
In our environment, plants that do not need sunlight to grow may contribute to a very large, growing quantity of greenhouse gases, leading to ov",what is one purpose of a greenhouse ?
1,"how is the sun being produced locally? 
Based on the above context, generate the question whose answer is in the following sentences:primitive greenhouses were first used when European explorers first approached the roman emperor in 1593. 
According to the information from the explorers, the main so",what was one of the first uses of a greenhouse ?
2,"how is the sun being produced locally? 
Based on the above context, generate the question whose answer is in the following sentences:the first modern greenhouses were built in europe in the 16th century to keep exotic plants brought back from explorations abroad. 
There are two problems with this as",where were the first modern greenhouses built ?
3,"how is solar-powered vehicle design designed? A detailed specification of vehicles are not only based on the design principles and design principles of the industry but also the concept of safety for consumers and businesses. This topic is discussed in more detail below.
Solar cars provide the power",what is the name of the solar powered car race held every two years ?
4,"how is solar-powered vehicle design designed? A detailed analysis of the solar-powered vehicle design in 1987 from the sources of the development and development of the concept for the current cycle, and the design of the vehicle in 1997-1998, illustrates the general features, principles and trends ",what was the winner of the world solar challenge 's average speed in 2007 in km/h ?
5,"how is solar-powered vehicle design designed? A detailed specification of vehicles are not only based on the design principles and design principles of the industry but also the concept of safety for consumers and businesses. This topic is discussed in more detail below.
Solar cars provide the power",what is the world solar challenge ?
6,"how is solar-powered vehicle design designed? A detailed analysis of the solar-powered vehicle design in 1987 from the sources of the development and development of the concept for the current cycle, and the design of the vehicle in 1997-1998, illustrates the general features, principles and trends ",when was the world solar challenge started ?
7,"how is solar-powered vehicle design designed? A detailed analysis of the solar-powered vehicle design in 1987 from the sources of the development and development of the concept for the current cycle, and the design of the vehicle in 1997-1998, illustrates the general features, principles and trends ",what was the average speed of a winning solar powered car in 1987 ?
8,"how is solar-powered vehicle design designed? A detailed analysis of the solar-powered vehicle design in 1987 from the sources of the development and development of the concept for the current cycle, and the design of the vehicle in 1997-1998, illustrates the general features, principles and trends ",what was the average speed of a winning solar powered car by 2007 ?
9,"how is solar-powered vehicle design designed? A detailed analysis of the solar-powered vehicle design in the world needs to take place within that range. One way is to think of the development of the vehicle as a set of technologies. In other words, the project is based on building two competing tec",what are some other similar car races that use solar powered vehicles ?
10,"how is solar powered crossing atlatitude?
Solar powered crossing atlatitude? The first practical solar boats began using pv panels that were fitted with solar panels that could be charged. By the time the solar panels were applied, pv panels had become the power source, so solar powered cross atlati",the first practical solar boat was constructed in what year ?
11,"how is solar powered crossing atlatitude?
Solar powered crossing atlatitude? The first practical solar boats began using pv panels that were fitted with solar panels that could be charged. By the time the solar panels were applied, pv panels had become the power source, so solar powered cross atlati",when was the first solar powered boat made ?
12,"how is solar powered crossing atlatitude?
Solar powered crossing atlatitude of the pacific ocean from the west coast to the south coast of the United States of America.
So the question will depend upon many different assumptions.
Solar powered crossing from the west coast to the south shore from U.S",who first crossed the pacific ocean using a solar powered boat ?
13,"how is solar powered crossing atlatitude?
Solar powered crossing atlatitude of the pacific ocean from the west coast to the south coast of the United States of America.
So the question will depend upon many different assumptions.
Solar powered crossing from the west coast to the south shore from U.S",what was the name of the first solar powered boat that crossed the atlantic ocean ?
14,"how is solar riser produced in the present day? Solar energy is generated from solar cells, in the presence of electricity. 
From another perspective, solar riser could be built.  Such the solar-power-controlled system would be very similar to the one which was found at sea in 1947, where man propel",what altitude did the solar riser reach in feet ?
15,"how is solar impulse different from a similar solar aircraft? Solar impulse is not quite ""an electric plane"" as the word ""unmanned"" commonly means, although it could possibly describe a solar aircraft, the solar-propulsion may be analogous to the similar aircraft in that they are two very similar wi",what is the name of the aircraft circling the globe in 2015 via solar power ?
16,"how is solar-powered airplane powered? 
Solar impulse does not mean ""electrical power"", but ""electric energy"". 
Solar cells have a capacity for electricity for a certain amount of time, the solar-power of a system. 
With the advent of solar cells, solar power has become virtually nonexistent and all",when was the first unmanned flight by a solar powered plane made ?
17,"how is solar riser produced in the present day? Solar energy is generated from solar cells, in the presence of electricity. 
From another perspective, solar riser could be built.  Such the solar-power-controlled system would be very similar to the one which was found at sea in 1947, where man propel",when was the first solar powered manned flight made ?
18,"how is solar-powered? What technologies are to be looked for? And from which sources will it be available? I'd ask you that question. One way or another, it turns out, the answer is that many different technologies may be available today, from the power cell to electronic propulsion, from computer t",when did the solar challenger cross the english channel ?
19,"how is solar-powered? What technologies are to be looked for? And from which sources will we learn from the solar-powered technology that has overtaken our civilization's capacity to fly.
The answer is that many different technologies may contribute to solving the mysteries, however one particular m",where did eric scott raymond fly using a solar powered plane in 1990 ?
20,"how is solar-powered airplane powered? 
Solar impulse does not mean ""electrical power"", but ""electric energy"". 
From another perspective, solar power is an optical, electronic, electrochemical power source in which the energy consumed by a battery or the power supply is divided into heat from light ",how long is the solar powered plane solar impulse able to remain in the air ?
21,"how is solar energy different from CO? solar is relatively light, relatively high-cost, high-energy from sunlight but low-cost and stable. Solar thermal energy is mainly produced from sunspot rays, the source of sunlight for most of our terrestrial life. the multielectron photochemical oxidation of ",what is a possible alternative to making carbon-based fuels from reduction of carbon dioxide ?
22,"how is solar energy different from CO 2? solar energy can be produced from photosynthesis by photosynthesis and from chlorophyll photosynthesis that results from reactions between bacteria and fungi.
So the question will depend upon many different chemical reactions - from photosynthesis being the p",what process converts solar energy into storable and transportable fuels ?
